game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Lina no Atelier: Strahl no Renkinjutsushi,28,3.79,12,Easy,33.33,50,4,6,55,DS
Lise no Atelier: Ordre no Renkinjutsushi,26,3.57,7,Easy-Just Right,50,30,2,3,33,DS
Londonian Gothics: Meikyuu no Lolita,13,3.17,6,Just Right,100,NA,NA,1,17,DS
Lost Magic,682,3.59,273,Just Right-Tough,50.39,26.1,65,163,44,DS
Lunar: Dragon Song,905,2.58,362,Just Right,50.99,37.2,63,139,30,DS
Magical Starsign,1018,3.66,412,Just Right,69.01,38.3,108,227,45,DS
Majime no Fumajime: Kaiketsu Zorori - Kyoufu no Takarabako,5,3.25,2,Tough-Unforgiving,50,20,1,1,50,DS
MapleStory DS,79,3.84,51,Easy-Just Right,50,39.3,12,23,49,DS
Mar Heaven: Boukyaku no Clavier,11,3.5,7,Just Right-Tough,60,32,5,5,83,DS
Mar Heaven: Karudea no Akuma,9,4.13,4,Just Right-Tough,50,47.5,4,4,100,DS
Mario & Luigi: Partners in Time,3965,3.86,2069,Just Right,65.23,26.9,763,1621,65,DS
Mario & Luigi: Bowser's Inside Story,4603,4.21,2605,Just Right,72.87,32.9,1040,1801,62,DS
Rhapsody: A Musical Adventure,621,3.6,249,Easy,48.25,21.9,68,151,46,DS
Marvel: Ultimate Alliance 2,79,2.87,39,Easy-Just Right,50,12.1,18,22,45,DS
Mazes of Fates DS,98,3.71,38,Just Right-Tough,50,29,9,12,26,DS
Medarot DS: Kabuto Ver.,26,3.75,20,Just Right-Tough,37.5,80,4,7,44,DS
Medarot DS: Kuwagata Ver.,21,3.65,13,Tough,33.33,68,5,6,50,DS
Mega Man Star Force 2: Zerker x Ninja,1275,4.13,837,Just Right,66.53,33.9,172,585,61,DS
Mega Man Star Force 2: Zerker x Saurian,790,4.08,460,Just Right,64.53,32.7,118,314,58,DS
Mega Man Star Force 3: Black Ace,1266,4.35,912,Just Right,69.89,37.7,265,639,66,DS
Mega Man Star Force 3: Red Joker,656,4.32,391,Just Right,64.19,38.9,115,287,66,DS
Mega Man Star Force: Dragon,651,3.85,340,Just Right,68.45,28.1,137,296,72,DS
Mega Man Star Force: Leo,596,3.97,300,Just Right,67.08,34.4,117,270,72,DS
Mega Man Star Force: Pegasus,692,3.92,373,Just Right,66.84,30.4,146,339,75,DS
Metal Max 2 Reloaded,33,3.96,23,Tough-Unforgiving,61.11,71.1,10,10,53,DS
Metal Max 3,41,3.92,30,Tough-Unforgiving,50,74.5,11,12,52,DS
Metal Saga: Hagane no Kisetsu,27,3.31,18,Tough-Unforgiving,64.29,65,6,7,39,DS
Might & Magic: Clash of Heroes,474,3.99,222,Just Right-Tough,64.52,32.6,75,135,51,DS
Monster Racers,91,3.89,61,Just Right,70.97,33.1,21,32,51,DS
Monster Rancher DS,319,3.7,191,Just Right,59.14,42.6,33,61,30,DS
Monster Lab,43,3.47,17,Easy-Just Right,66.67,37.3,3,7,37,DS
Monster Hayhem: Build and Battle,11,3.33,9,Easy,50,14.9,7,7,88,DS
Super Robot Taisen OG Saga: Endless Frontier,803,4.03,428,Just Right,71.05,41.5,118,245,48,DS
"My World, My Way",236,3.57,115,Just Right,59.32,30.4,31,52,36,DS
Naruto RPG 2: Chidori vs. Rasengan,48,3.67,24,Just Right,75,27.4,15,18,62,DS
Naruto: Path of the Ninja 2,392,3.91,245,Just Right,61.9,28.2,87,187,70,DS
Naruto: Path of the Ninja,382,3.57,183,Just Right,64.21,23.6,79,159,69,DS
Net Ghost Pipopa: Pipopa DS @ Daibouken!!!,6,2.5,3,Easy-Just Right,66.7,30,2,2,67,DS
Ni no Kuni: Shikkoku no Madoushi,134,3.93,57,Just Right,81.25,55.3,19,21,37,DS
Nora to Toki no Koubou: Kiri no Mori no Majo,28,3.88,20,Tough,38.46,17.4,6,8,42,DS
Nostalgia,744,3.75,356,Just Right,59.06,38,85,173,40,DS
Oni Zero: Sengoku Ransei Hyakkaryouran,20,3.82,11,Tough,42.86,40,4,4,44,DS
Orcs & Elves,363,3.44,139,Just Right,56.06,13.6,45,85,52,DS
Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,24,3.62,17,Easy-Just Right,50,8.6,13,16,89,DS
Percy Jackson and the Olympians: The Lightning Thief,35,3.71,19,Easy-Just Right,53.85,15.2,10,16,64,DS
Phantasy Star Zero,1098,3.97,607,Just Right,66.96,46.3,134,317,44,DS
Pokemon Black Version,11205,4.2,6610,Just Right,65.77,51.6,3349,5091,71,DS
Pokemon Black Version 2,6716,4.26,3747,Just Right,68.9,54.3,1882,2728,74,DS
Pokemon Diamond Version,14296,4.13,8548,Just Right,66.09,55.4,2836,7547,76,DS
Pokemon Pearl Version,9211,4.09,4908,Just Right,68.21,54.9,1783,4347,74,DS
Pokemon HeartGold Version,10169,4.39,5941,Just Right,68.09,57.9,2732,4543,70,DS
Pokemon Platinum Version,13139,4.3,7776,Just Right,68.53,54.5,3138,6185,70,DS
Pokemon SoulSilver Version,10540,4.41,5999,Just Right,71.19,56.7,2744,4590,69,DS
Pokemon White Version,8927,4.2,4970,Just Right,67.03,51.7,2655,4123,73,DS
Pokemon White Version 2,4988,4.26,2489,Just Right,70.62,56.7,1360,2005,73,DS
Pokemon Mystery Dungeon: Blue Rescue Team,4134,3.86,2091,Just Right,58.46,45.1,822,1744,69,DS
Pokemon Mystery Dungeon: Explorers of Sky,3439,4.31,1988,Just Right,63.37,52.9,915,1512,69,DS
Pokemon Mystery Dungeon: Explorers of Time,3414,4.11,1807,Just Right,60.14,47.7,655,1458,67,DS
Pokemon Mystery Dungeon: Explorers of Darkness,3002,4.08,1616,Just Right,57.96,46,570,1245,64,DS
Pokemon Ranger,3784,3.51,1763,Just Right,49.36,27.1,738,1543,69,DS
Pokemon Ranger: Shadows of Almia,2768,3.9,1373,Just Right,60.82,32.6,585,1188,70,DS
Pokemon Ranger: Guardian Signs,1983,3.86,951,Just Right,61.7,32.3,477,855,72,DS
Radiant Historia,2239,4.29,1238,Just Right,73.95,44.4,473,704,53,DS
Ragnarok DS,623,3.82,381,Just Right,57.5,36.1,62,164,38,DS
Red Stone DS: Akaki Ishi ni Michibikireshi Monotachi,11,2.92,6,Tough,40,16,2,2,40,DS
Remyuouru no Renkinjutsushi,11,3.57,7,Just Right-Tough,60,28,5,5,83,DS
The Wizard of Oz: Beyond the Yellow Brick Road,151,3.82,59,Just Right,57.14,22.3,14,26,39,DS
Rockman.EXE Operate Shooting Star,119,3.77,83,Just Right,46.67,29.6,16,39,45,DS
RPG Tsukuru DS,11,3.78,9,Just Right-Tough,25,80,3,4,50,DS
RPG Tsukuru DS+: Create the New World,12,3.75,8,Just Right,80,50,5,5,83,DS
Rune Factory 2: A Fantasy Harvest Moon,1629,4.07,910,Just Right,75.26,51.3,183,362,33,DS
Rune Factory 3: A Fantasy Harvest Moon,1664,4.37,1016,Just Right,74.64,53.7,393,609,56,DS
Rune Factory: A Fantasy Harvest Moon,1903,3.87,979,Just Right,70.11,50.9,218,494,41,DS
SaGa 2: Hihou Densetsu - Goddess of Destiny,131,3.89,70,Just Right,78.38,33.5,26,31,44,DS
SaGa 3: Jikuu no Hasha - Shadow or Light,83,3.89,45,Just Right-Tough,77.27,38.5,13,13,38,DS
The Sagasou: Fushigi na Konchuu no Mori,5,3.5,1,Just Right,100,12,1,1,100,DS
Sands of Destruction,676,3.74,361,Just Right,59.54,34.9,111,224,53,DS
Shin Megami Tensei: Strange Journey,2002,3.77,1172,Tough,61.94,62.6,326,459,41,DS
Shounen Sunday & Shounen Magazine: White Comic,14,3.88,8,Just Right-Tough,40,30.4,5,5,71,DS
Sigma Harmonics,63,3.95,39,Just Right-Tough,43.75,47.8,12,16,43,DS
Solatorobo: Red the Hunter,725,4.11,385,Easy-Just Right,50.18,28.2,175,228,58,DS
Soma Bringer,287,3.93,171,Just Right,70.15,50.2,43,80,42,DS
Sonic Chronicles: The Dark Brotherhood,1640,3.48,876,Just Right,59.12,26.7,234,514,50,DS
Soul Eater: Medusa no Inbou,47,3.9,26,Just Right,50,28.7,6,8,30,DS
Spectral Force Genesis,233,3.3,92,Just Right-Tough,45.28,22.3,31,48,47,DS
The World Ends with You,6893,4.49,4637,Just Right-Tough,61.61,44.6,1361,3440,69,DS
Summon Night: Twin Age,744,3.84,356,Easy-Just Right,56.93,30.1,87,205,44,DS
Summon Night X: Tears Crown,70,3.59,40,Just Right,76.19,38,11,19,53,DS
Super Robot Taisen OG Saga: Mugen no Frontier EXCEED,160,4.17,122,Just Right-Tough,72.92,50.5,32,58,52,DS
Sword World 2.0:  Game Book DS,6,4.13,4,Tough-Unforgiving,75,16,2,2,50,DS
Tales of Hearts,336,4.06,213,Just Right,60.78,62,62,102,47,DS
Tales of Innocence,517,3.75,314,Just Right,68.02,37.7,87,145,40,DS
Tales of the Tempest,250,2.87,120,Easy-Just Right,60,31.3,35,60,45,DS
Tamagotchi no Appare! Niji-Venture,12,3.56,9,Easy,28.57,17.3,6,6,75,DS
Tao's Adventure: Curse of the Demon Seal,184,2.81,62,Just Right-Tough,52.17,40.2,9,21,26,DS
Tengai Makyou II: Manji Maru,13,3.65,10,Tough,85.71,67.1,7,7,100,DS
Tsubasa Chronicle,20,3.9,10,Easy-Just Right,75,13.6,5,5,45,DS
Tsubasa Chronicle Vol. 2,16,3.81,8,Easy-Just Right,60,24,3,3,50,DS
Vampire Legends: Power of Three,35,1.48,24,Easy-Just Right,43.75,4.5,11,11,52,DS
A Witch's Tale,301,3.57,123,Easy-Just Right,53.19,46.8,24,48,32,DS
Witches & Vampires: The Secrets of Ashburry,16,3.44,8,Just Right,50,16,5,5,56,DS
Wizardry Asterisk: Hiiro no Fuuin,13,3.81,8,Unforgiving,83.33,56.7,3,3,50,DS
Wizardy: Boukyaku no Isan,12,3.58,6,Tough,33.33,30,2,2,33,DS
Wizardy: Seimei no Kusabi,11,3.67,6,Tough-Unforgiving,50,26,2,3,43,DS
WiZmans World,15,3.75,10,Just Right,60,12,4,4,50,DS
Xenosaga I + II,119,3.89,61,Just Right,66.67,47.3,14,30,46,DS
Ys Book I DS,59,3.45,22,Easy-Just Right,33.33,12,9,17,53,DS
Ys Book II DS,42,3.75,12,Just Right,50,30.6,7,13,65,DS
Zettai Karen Children DS: Dai-4 no Children,13,3.75,8,Just Right-Tough,42.86,23,4,4,50,DS
Zettai Onkan Otoda Master,12,3.86,7,Tough-Unforgiving,66.67,64.3,7,7,88,DS
Zoids Saga DS: Legend of Arcadia,37,4.24,23,Just Right-Tough,66.67,14.1,6,11,41,DS
Zoids: Battle Colosseum,15,3.72,9,Tough,66.67,60,2,4,36,DS
3x3 Eyes: Seima Kourinden,49,3.56,16,Tough,57.14,26,10,10,63,SNES
The 7th Saga,846,3.38,422,Tough-Unforgiving,85,45.2,114,201,42,SNES
Advanced Dungeons & Dragons: Eye of the Beholder,358,2.84,118,Tough,59.46,23.8,22,44,27,SNES
Akazukin ChaCha,29,3.2,15,Easy-Just Right,36.36,40,9,10,77,SNES
Albert Odyssey,82,3.58,24,Easy-Just Right,46.67,67.1,9,14,NA,SNES
Albert Odyssey 2: Jashin no Taidou,53,3.71,14,Tough,44.44,60.3,6,9,53,SNES
Alcahest,174,3.57,84,Just Right,74.51,15.4,31,48,NA,SNES
Ancient Magic: Bazoe! Mahou Sekai,48,3.03,20,Just Right-Tough,62.5,37.8,9,10,56,SNES
Tecmo Secret of the Stars,266,3.27,128,Just Right,32,42.2,44,77,52,SNES
Arabian Nights,85,3.5,43,Just Right,42.86,25.6,21,24,57,SNES
Arcana,388,3.33,185,Just Right,65,27.5,59,123,57,SNES
Arcus Odyssey,59,3.11,31,Tough,52.63,46.7,11,15,45,SNES
Aretha II: Ariel no Fushigi na Tabi,37,3.71,14,Just Right-Tough,38.46,60.4,10,11,73,SNES
Aretha the Super Famicom,46,3.56,17,Just Right-Tough,NA,58.7,12,13,76,SNES
Bakumatsu Korinden Oni,36,3.6,15,Just Right-Tough,46.15,30.2,9,11,61,SNES
Benkei Gaiden: Suna no Shou,43,3.84,22,Just Right-Tough,47.62,44,15,16,67,SNES
Bishoujo Senshi Sailor Moon: Another Story,292,3.89,181,Just Right,53,37.8,76,133,67,SNES
Brain Lord,494,3.56,216,Just Right-Tough,55.91,25.2,74,124,49,SNES
Brandish,198,3.38,69,Just Right,61,30.1,20,34,NA,SNES
Brandish 2,70,3.58,30,Just Right-Tough,47,51.1,11,15,54,SNES
Brandish 2 Expert,26,3.72,9,Tough,42.86,68,5,5,56,SNES
Breath of Fire,2167,3.79,1168,Just Right,11,40.3,461,882,66,SNES
Breath of Fire II,2124,4.06,1172,Just Right-Tough,64.99,44.2,410,845,64,SNES
Burai: Hachigyoku no Yuushi Densetsu,21,3.22,9,Just Right-Tough,44.44,21,4,4,44,SNES
Bushi Seiryuuden: Futari no Yuusha,19,3.38,8,Just Right,66.67,11,4,5,63,SNES
The Twisted Tales of Spike McFang,183,3.42,73,Just Right,57.14,11.7,32,46,58,SNES
Chou-Mahou Tairiku Wozz,55,3.66,29,Just Right,64.29,53.3,9,13,46,SNES
Chrono Trigger,8612,4.58,6613,Just Right,77.24,46.9,2816,4703,83,SNES
Crystal Beans: From Dungeon Explorer,43,3.53,18,Just Right,85.71,4.7,7,8,44,SNES
Cyber Knight,69,3.06,24,Just Right,88.24,13.8,9,12,41,SNES
Cyber Knight II,56,3.31,21,Just Right-Tough,63.64,15.3,6,8,35,SNES
Daikaijyuu Monogatari,41,3.6,15,Just Right,72.73,35,8,9,56,SNES
Daikaijyuu Monogatari II,21,3.61,9,Tough,71.43,20.8,5,6,75,SNES
New Horizons,301,3.98,180,Just Right-Tough,58.41,62.4,73,107,63,SNES
Dark Half,118,4.04,66,Tough,38.89,21.1,7,45,68,SNES
Dark Kingdom,34,3.57,14,Just Right-Tough,66.67,22.4,5,6,NA,SNES
Dark Law,122,4.01,85,Just Right-Tough,31.25,24.8,8,66,85,SNES
Dokapon 3-2-1,17,3.64,7,Easy-Just Right,33.33,13.8,5,5,56,SNES
Dokapon Gaiden,20,3.75,8,Easy-Just Right,NA,8.4,7,7,88,SNES
Down the World,32,3.29,12,Just Right,44.44,6,4,5,NA,SNES
Dragon Ball Z Super Gokuden: Kakusei-Hen,94,3.21,36,Just Right,76.92,18.3,15,22,49,SNES
Dragon Ball Z Super Gokuden: Totsugeki-Hen,104,3.23,46,Just Right,75.86,16.4,15,24,44,SNES
Dragon Ball Z: Super Saiya Densetsu,205,3.49,114,Just Right,72,23.5,43,83,64,SNES
Dragon Knight 4,45,3.27,11,Tough,NA,12,2,2,22,SNES
Dragon Quest III: Soshite Densetsu e...,505,4.27,267,Just Right,75.74,48.5,88,172,63,SNES
Dragon Quest V: Tenkuu no Hanayome,537,4.09,274,Just Right-Tough,21,44.2,88,165,55,SNES
Dragon Quest VI: Maboroshi no Daichi,520,4.08,236,Just Right-Tough,57.52,56.6,60,149,52,SNES
Dragon Slayer: Eiyuu Densetsu,41,3.5,10,Just Right,44.44,57.5,4,5,NA,SNES
Dragon Slayer: Eiyuu Densetsu II,35,3.36,11,Just Right-Tough,55.56,52.5,4,4,NA,SNES
Dragon View,217,3.72,105,Just Right,68.66,17.4,38,67,58,SNES
Drakkhen,438,2.64,173,Tough,59.18,17.1,45,67,32,SNES
Dual Orb,42,3.14,11,Just Right-Tough,66.67,14,2,5,38,SNES
Dual Orb II,122,3.81,67,Just Right-Tough,NA,36.4,22,56,72,SNES
Dungeon Master,148,3.27,47,Tough,NA,74.2,12,19,34,SNES
DunQuest: Majin Fuuin no Densetsu,15,3.21,7,Just Right,NA,13,4,4,67,SNES
EarthBound,5283,4.38,3370,Just Right,68.59,38.2,1275,2262,64,SNES
Eien no Filena,53,3.38,26,Just Right,62.5,10.4,10,12,55,SNES
Elfaria,49,3.33,12,Tough,36.36,16,5,5,31,SNES
Elfaria II,40,3.65,13,Just Right-Tough,NA,18.3,7,7,NA,SNES
Emerald Dragon,109,3.62,49,Easy-Just Right,NA,46.8,19,31,NA,SNES
Lufia & the Fortress of Doom,1280,3.7,600,Just Right,66.86,38.3,217,453,63,SNES
Lufia II: Rise of the Sinistrals,1755,4.3,1018,Just Right,74.3,47.3,372,773,71,SNES
Final Fantasy II,3185,4.28,1780,Just Right,66.27,43.3,788,1619,NA,SNES
Final Fantasy III,8073,4.55,6042,Just Right,71.96,54.9,2235,4939,84,SNES
Final Fantasy IV,1394,4.16,779,Just Right,68.2,39.7,360,658,76,SNES
Final Fantasy: Mystic Quest,2712,3.38,1427,Easy,52.21,21.9,621,1234,73,SNES
Final Fantasy V,1716,4.09,1022,Just Right,71.33,47.6,417,789,NA,SNES
Front Mission: Gun Hazard,342,4.14,211,Just Right,77.22,34.7,46,149,67,SNES
Fushigi no Dungeon 2: Fuurai no Shiren,83,3.85,33,Tough,56.52,68.3,6,14,38,SNES
G-O-D: Mezame yoto Yobu Koe ga Kikoe,41,3.26,19,Just Right,46.15,26.9,9,10,53,SNES
Gaia Saver,29,2.75,12,Just Right-Tough,NA,16,6,8,NA,SNES
Super Chinese World 2,27,3.05,11,Just Right-Tough,57.14,9,6,6,55,SNES
Ganpuru: Gunman's Proof,109,4.05,74,Easy-Just Right,46.43,6.1,16,58,76,SNES
GD Leen,33,3.42,13,Just Right-Tough,63.64,51.1,10,11,85,SNES
Gegege no Kitarou,30,3.07,15,Just Right-Tough,58.33,11.1,7,8,53,SNES
Gokinjo Boukentai,20,3.36,7,Easy-Just Right,NA,12,4,4,67,SNES
"Hanjuku Eiyuu: Aa, Sekaiyo Hanjukunare...!!",45,3.42,12,Tough,NA,4.9,5,6,43,SNES
Haou Taikei Ryuu Knight: Lord of Paladin,24,3.28,9,Just Right,57.14,14.5,4,4,NA,SNES
Heracles no Eikou III: Kamigami no Chinmoku,57,3.5,26,Just Right-Tough,62.5,20.8,10,15,63,SNES
Heracles no Eikou IV: Kamigami-kara no Okurimono,44,3.66,16,Just Right,54.55,17,8,9,64,SNES
Hero Senki,28,3.78,16,Tough,45.45,56.3,8,10,71,SNES
Hi no Ouji: Yamato Takeru,15,4.25,4,Tough-Unforgiving,NA,40,2,2,NA,SNES
Hiouden: Mamonotachi to no Chikai,30,3.38,8,Just Right,66.67,13.3,3,3,27,SNES
Hokuto no Ken 5,21,2.5,7,Just Right-Tough,66.67,12,1,2,29,SNES
Holy Umbrella: Dondera no Mubou!!,47,3.69,27,Just Right,43.75,10.8,10,15,NA,SNES
Horai Gakuen no Bouken!,47,3.82,22,Easy-Just Right,42.86,27.6,10,13,62,SNES
Idea no Hi,25,3.54,14,Just Right-Tough,55.56,37,6,9,69,SNES
Inindo: Way of the Ninja,200,3.38,87,Tough,52.63,49.9,29,41,NA,SNES
J.R.R. Tolkien's The Lord of the Rings: Volume 1,262,2.38,111,Tough,49,16.2,22,39,29,SNES
JoJo no Kimyou na Bouken,43,3.32,22,Just Right-Tough,56.25,24.4,11,12,63,SNES
Neugier: Umi to Kaze no Koudou,50,3.14,21,Just Right-Tough,NA,13.6,9,16,NA,SNES
Jungle Wars 2,26,3,8,Just Right-Tough,NA,17.3,3,4,NA,SNES
Kabuki Rocks,33,3.04,13,Just Right-Tough,NA,9.9,7,7,NA,SNES
Kenyuu Densetsu Yaiba,24,3.4,10,Tough,55.56,14,6,7,NA,SNES
Kero Kero Keroppi no Bouken Nikki,15,3.75,4,Easy,NA,7,2,3,NA,SNES
Kessen! Dokapon Okukoku IV: Densetsu no Yuusha Tachi,17,3.67,6,Just Right-Tough,66.67,11,4,4,57,SNES
Kidou Keisatsu Patlabor,27,3.31,8,Just Right,NA,6,3,3,38,SNES
Kishin Korinden Oni,28,3.56,9,Just Right,57.14,11.4,5,6,75,SNES
Kouryu Densetsu Villgust,52,3,18,Just Right,77.78,24.3,8,14,64,SNES
Kuusou Kagaku Sekai: Gulliver Boy,32,3,15,Just Right,NA,17.3,8,13,76,SNES
Lady Stalker,75,3.67,21,Just Right,73.33,23.3,6,9,32,SNES
Lagoon,511,3.11,222,Just Right-Tough,55.45,22.2,64,131,51,SNES
Laplace no Ma,38,3.44,18,Just Right-Tough,58.33,15.1,9,11,69,SNES
The Last Battle,30,3.73,11,Just Right-Tough,37.5,50,5,6,55,SNES
Last Bible III,69,2.48,27,Easy-Just Right,NA,25.1,9,10,42,SNES
Lennus II: Fuuin no Shito,74,3.89,36,Just Right,75,57.5,8,20,54,SNES
Paladin's Quest,387,3.37,162,Just Right-Tough,63.53,37.3,45,87,46,SNES
Light Fantasy,34,3.2,10,Just Right,NA,37.1,7,7,64,SNES
Light Fantasy 2,26,3.63,8,Just Right-Tough,42.86,38,5,5,63,SNES
Lodoss Tou Senki,62,3.53,18,Tough-Unforgiving,NA,40,8,8,NA,SNES
Shinseiki Odysselya,26,2.95,10,Just Right-Tough,NA,40,5,6,NA,SNES
Love Quest,23,2.9,5,Just Right-Tough,NA,4.7,3,3,NA,SNES
Madara Saga,20,3.63,8,Just Right,33.33,23,4,4,NA,SNES
Madou Monogatari: Hanamaru Daiyouchi Enji,58,3.57,27,Easy-Just Right,46.67,20.2,10,16,52,SNES
Magna Braban: Henreki no Yusha,41,3.15,17,Easy-Just Right,41.67,16.9,9,12,NA,SNES
Mahou Kishi Rayearth,171,3.34,86,Easy-Just Right,44.44,13.9,28,72,65,SNES
Mahoujin GuruGuru,27,3.21,7,Just Right,NA,16,2,3,38,SNES
Mahoujin GuruGuru 2,22,3.25,6,Tough,66.67,30,2,3,43,SNES
Maka Maka,32,2.74,17,Just Right-Tough,NA,15,4,6,38,SNES
Maten Densetsu: Senritsu no Ooparts,22,3.79,7,Just Right,71.43,30,2,3,38,SNES
Metal Max 2,51,3.48,23,Tough,36.84,40.2,10,11,44,SNES
Metal Max Returns,111,4.02,63,Just Right-Tough,57.14,44.9,21,31,51,SNES
Might and Magic II,53,2.96,13,Just Right-Tough,NA,70,3,5,28,SNES
Might and Magic III: Isles of Terra,109,3.28,34,Tough,NA,64,5,14,34,SNES
Might and Magic: Book II,22,3.5,6,Just Right-Tough,NA,51,2,2,29,SNES
Milandra,20,3.38,4,Just Right,NA,24,3,3,NA,SNES
Monstania,75,3.29,33,Easy-Just Right,NA,7.5,18,29,71,SNES
Monster Maker III: Hikari no Majutsushi,22,3.61,9,Tough,42.86,14.7,3,4,44,SNES
Mouryou Senki Madara 2,33,3.54,12,Just Right,66.67,30,4,4,31,SNES
Mystic Ark,154,3.88,73,Just Right-Tough,66.67,34.2,22,31,41,SNES
Nekketsu Tairiku: Burning Heroes,55,3.62,25,Just Right,61.54,51.3,8,10,NA,SNES
Obitus,74,2.09,35,Tough,35,8,7,7,23,SNES
Popful Mail,77,3.81,29,Just Right,56.25,22,8,11,31,SNES
Princess Minerva,43,3.59,17,Just Right,57.14,40.3,8,8,44,SNES
Ranma 1/2: Akanekodan Teki Hihou,85,3.53,35,Just Right,68,22.8,15,26,58,SNES
Rejoice: Aretha Oukoku no Kanata,17,4.33,3,Just Right-Tough,NA,NA,2,2,NA,SNES
Robotrek,500,3.79,242,Just Right,63.64,28.6,64,150,55,SNES
Rokudenashi Blues,31,3.25,12,Just Right-Tough,66.67,9,6,6,55,SNES
Romancing SaGa,212,3.63,79,Just Right-Tough,45.65,41.1,25,32,36,SNES
Romancing SaGa 2,232,3.95,97,Tough,52.38,52.9,35,42,44,SNES
Romancing SaGa 3,372,4.09,201,Tough,57.65,47.7,35,107,52,SNES
RPG Tsukuru 2,31,2.96,12,Easy-Just Right,75,80,3,3,21,SNES
RPG Tsukuru: Super Dante,36,3.14,11,Just Right,NA,50,3,3,23,SNES
Rudra no Hihou,257,4.06,148,Just Right-Tough,61.54,45.8,40,88,58,SNES
Ruin Arm,32,3.08,12,Tough,33.33,13.6,5,6,NA,SNES
Ryuuki Heidan Danzarb,28,3.57,7,Just Right-Tough,NA,18.4,5,6,75,SNES
Sansara Naga 2,26,3.5,11,Tough,NA,58,4,4,NA,SNES
SD Gundam Gaiden 2,21,3.17,3,Tough,100,40,1,1,33,SNES
Secret of Evermore,2161,3.99,1146,Just Right,67.89,35.2,399,813,62,SNES
Secret of Mana,4479,4.25,2566,Just Right,72.95,42.3,993,1917,67,SNES
Seiken Densetsu 3,1384,4.33,914,Just Right,74.95,42.3,300,619,64,SNES
Shadowrun,841,4.06,451,Just Right-Tough,88,27.5,136,308,62,SNES
Shiki Eiyuuden,15,5,1,Unforgiving,100,80,1,2,67,SNES
Shin Megami Tensei,488,3.77,291,Tough,53.89,47,116,148,51,SNES
Shin Megami Tensei if...,160,3.05,87,Just Right-Tough,36.21,41,38,45,54,SNES
Shin Megami Tensei II,333,3.78,183,Just Right-Tough,49.58,42.5,70,95,51,SNES
Shin Momotarou Densetsu,21,4.13,4,Just Right-Tough,75,24,3,3,NA,SNES
Shin Seikoku: La Wares,28,3.08,6,Just Right-Tough,NA,29,4,4,NA,SNES
Shinseiki Odysselya 2,27,3.75,12,Just Right-Tough,55.56,45.7,7,8,62,SNES
Shodai Nekketsu Kouha Kunio-Kun,56,3.74,27,Tough,35.71,20.4,5,9,NA,SNES
Silva Saga II: The Legend of Light and Darkness,54,3.72,18,Just Right,76.47,50.2,12,12,63,SNES
Slayers,102,3.23,45,Tough,45.45,34.6,13,19,35,SNES
Solid Runner,89,4.08,76,Just Right,83.33,30,2,65,93,SNES
Song Master,24,3.36,7,Just Right-Tough,66.67,12,2,2,29,SNES
Soul & Sword,35,3.33,9,Just Right,83.33,42.8,5,8,89,SNES
Soul Blazer,1140,3.94,636,Just Right,75.83,19.2,270,535,76,SNES
Star Ocean,781,4.05,447,Just Right,75.36,33.5,120,273,54,SNES
Super Ninja Boy,198,3.32,85,Just Right-Tough,54.17,18.5,27,43,49,SNES
Super Chinese World 3,21,2.93,7,Tough,NA,26.7,3,3,NA,SNES
Uncharted Waters,164,3.7,66,Just Right-Tough,63.16,57.6,21,35,47,SNES
Super Mario RPG: Legend of the Seven Stars,7680,4.46,4830,Just Right,68.24,34.5,1663,3604,71,SNES
Sword World SFC,31,3.41,11,Tough,55.56,44.3,7,7,64,SNES
Sword World SFC 2,26,3.68,11,Tough,NA,45,6,6,NA,SNES
Taikou Risshiden,15,3,5,Tough,66.67,20,2,2,NA,SNES
Tales of Phantasia,875,4.23,562,Just Right-Tough,66.67,47.5,193,392,64,SNES
Terranigma,1332,4.35,878,Just Right,78.54,33.7,325,613,67,SNES
Tengai Makyou Zero,91,3.76,31,Just Right,55.56,36.8,12,18,49,SNES
Tenshi no Uta,28,3.3,10,Just Right,62.5,20,6,6,67,SNES
Torneko no Daibouken: Fushigi no Dungeon,79,3.57,29,Just Right-Tough,35.29,28.8,8,14,41,SNES
Tottemo! Lucky Man: Lucky Cookie Roulette de Totsugeki,10,1.75,2,Just Right,100,8,1,2,100,SNES
Traverse: Starlight & Prairie,21,3.21,7,NA,NA,NA,NA,2,33,SNES
Trinea,23,3.21,7,Just Right-Tough,50,4,1,3,38,SNES
Ultima: Runes of Virtue II,116,3.02,33,Just Right-Tough,57.89,28.2,9,12,34,SNES
Ultima: The False Prophet,166,3.48,43,Just Right-Tough,59.26,49.2,12,18,33,SNES
Ultima: The Black Gate,122,3.14,28,Just Right-Tough,57.14,42.8,8,17,43,SNES
Ultima: Kyouryuu Teikoku - The Savage Empire,22,3.17,3,Just Right,100,20,1,2,29,SNES
Verne World,20,3.4,10,Just Right-Tough,42.86,25,4,6,NA,SNES
Wizap!: Ankoku no Ou,14,2.33,3,Tough,100,12,1,1,50,SNES
Wizardry Gaiden IV: Throb of the Demon's Heart,41,3.79,17,Tough-Unforgiving,58.33,73.3,6,9,56,SNES
Wizardry V: Heart of the Maelstrom,227,3.55,78,Tough,55.32,59.9,17,28,29,SNES
