game_title,number_owners,rating,number_owners_rated,difficulty,percent_difficulty_votes,game_length,votes_game_length,number_completed_users,completion_rate,system
Frontier Gate Boost+,34,4.06,24,Just Right-Tough,52.63,60.7,14,15,65,PSP
Fushigi no Dungeon: Fuuren no Shirai 3 Portable,24,3.65,13,Tough,50,68.3,6,7,54,PSP
Fushigi no Dungeon: Fuurai no Shigen 4 Plus - Kami no Hitomi to Akuma no Heso,15,3.38,8,Unforgiving,80,NA,5,1,17,PSP
Genso Suikoden: Tsumugareshi Hyakunen no Toki,79,3.52,48,Easy-Just Right,42.86,38.8,16,19,53,PSP
God Eater,335,4.04,206,Just Right-Tough,45.26,64,59,98,46,PSP
God Eater 2,226,4.15,170,Just Right,62.7,63.7,74,85,NA,PSP
Gods Eater Burst,1634,4.16,1017,Just Right-Tough,51.93,62.4,385,511,47,PSP
Grand Knights History,222,4,134,Just Right-Tough,64.47,36.5,20,22,22,PSP
Gurumin: A Monstrous Adventure,459,4.01,177,Easy-Just Right,NA,24.4,44,108,NA,PSP
Hagane no Renkinjutsushi: Fullmetal Alchemist - Yakusoku no Hi e,29,3.88,13,Easy-Just Right,33.33,24,6,8,NA,PSP
Half-Minute Hero,784,4,378,Just Right,69.8,20.6,116,218,NA,PSP
Harukanaru Toki no Naka de 5,12,3,6,Just Right-Tough,NA,40.4,5,5,NA,PSP
Harukanaru Toki no Naka de 5: Kazahanaki,8,3.13,4,Tough,66.67,30.7,3,3,NA,PSP
Harukanaru Toki no Naka de 6,4,3,NA,NA,NA,NA,NA,NA,NA,PSP
Itsuka Kono Te ga Kegareru Toki ni: Spectral Force Legacy,23,3.54,13,Tough,NA,25,6,7,64,PSP
Jikandia: The Timeless Land,147,3.35,33,Just Right,58.82,20.7,6,12,24,PSP
Judie no Atelier: Gramnad no Renkinjutsushi - Toraware no Mamoribito,21,3.46,12,Just Right-Tough,36.36,63.3,6,6,46,PSP
Justice League Heroes,141,3.64,65,Just Right,NA,28.4,28,43,61,PSP
Ken to Mahou to Gakuen Mono. Final: Shinnyusei wa Ohimesama,16,3.79,7,Tough,NA,38,4,4,NA,PSP
Kingdom of Paradise,395,3.6,150,Just Right,53.26,29.3,59,94,53,PSP
Kidou Senshi Gundam AGE: Cosmic Drive,48,3.98,26,Easy-Just Right,71.43,28,5,9,64,PSP
Kidou Senshi Gundam AGE: Universe Accel,32,3.81,16,Just Right,83.33,20,3,4,NA,PSP
King's Field: Additional I,16,3.29,7,Tough-Unforgiving,NA,65,2,3,NA,PSP
King's Field: Additional II,18,3.8,5,Tough-Unforgiving,NA,56.7,3,3,NA,PSP
Kingdom Hearts: Birth by Sleep,5997,4.37,4116,Just Right,67.79,48.5,1892,2964,68,PSP
Last Ranker,103,3.91,64,Just Right,84.85,43.9,21,28,51,PSP
Lord of Apocalypse,68,3.98,40,Just Right,68.97,53.8,17,18,53,PSP
Lord of Arcana,760,3.68,437,Tough,48,55.3,73,96,21,PSP
Lost Heroes,32,3.93,20,Tough-Unforgiving,53.85,61.5,8,8,62,PSP
Warriors of the Lost Empire,190,3.12,81,Just Right-Tough,52.94,31.1,18,31,33,PSP
